EXCHANGE%3DNYSE,,,,,
MARKET_OPEN_MINUTE=570,,,,,
MARKET_CLOSE_MINUTE=960,,,,,
INTERVAL=600,,,,,
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=,,,,,
TIMEZONE_OFFSET=-240,,,,,
581,160.276,160.505,159.66,159.85,28105
582,160.365,160.67,160.275,160.34,24359
583,160.385,160.49,160.06,160.34,27398
584,159.883,160.34,159.78,160.31,34295
585,160.2,160.38,159.82,159.86,15589
586,160.25,160.27,159.97,160.21,19645
587,159.79,160.4,159.775,160.32,39855
588,159.16,159.97,159.16,159.8,28826
589,159.48,159.52,158.845,159.16,28280
590,159.71,159.91,159.45,159.51,37838
591,159.9,160.1,159.6,159.695,37500
592,160.19,160.4,159.86,159.91,26720
593,160.125,160.55,160.05,160.19,51939
594,159.23,160.22,159.02,160.1069,71362
595,158.2,159.34,158.11,159.195,150829
596,158.32,158.53,157.695,158.11,28745
597,158.08,158.39,157.74,158.29,25125
598,157.62,158.35,157.62,158.1325,10063
599,158.27,158.27,157.61,157.64,12779
600,158.41,158.54,157.85,158.17,33473
601,157.94,158.65,157.795,158.4799,9973
602,157.64,158.27,157.4675,158.04,16517
603,157.33,157.95,157.22,157.74,7247
604,156.76,157.2597,156.36,157.22,20767
605,156.9,157.28,156.66,156.66,9142
606,156.18,156.75,156.11,156.75,15163
607,155.9,156.32,155.9,156.32,15353
608,156.39,156.42,155.76,156,25702
609,156.36,156.54,156.16,156.3684,25061
610,156.51,156.88,156.35,156.4,15133
611,156.63,156.67,156.4,156.615,15288
612,156.35,156.57,156.17,156.57,5100
613,155.5,156.4,155.47,156.3,10935
614,155.86,155.86,155.23,155.56,14455
720,155.73,156.25,155.6,156.05,8620
721,155.14,155.64,154.76,155.64,11896
722,155.455,155.55,154.88,155.09,18331
723,155.81,156.02,155.07,155.53,27449
724,155.26,156.15,155.15,155.99,12691
725,155.685,155.74,154.88,155.09,23810
726,155.89,156.22,155.57,155.78,38322
727,156.05,156.12,155.75,155.935,20402
728,156.1201,156.16,155.49,155.87,26541
729,156.42,156.69,155.88,156.16,15452
730,155.695,156.55,155.62,156.44,10734
731,155.66,155.69,155.235,155.64,19474
732,155.69,155.84,155.23,155.56,15364
733,155.48,155.69,154.761,155.69,17869
734,154.75,155.56,154.75,155.37,14772
735,154.52,154.95,154.5,154.82,24359
736,154.86,155.24,154.3,154.51,24639
737,153.88,154.88,153.83,154.83,36683
738,153.73,154.46,153.68,153.88,51909
739,152.8,153.89,152.71,153.71,99022
740,155.88,156.36,154.4,155.39,22824
741,156.515,156.79,155.85,156.095,23863
742,156.55,156.78,156.12,156.37,37898
743,156.98,156.98,156.4,156.43,30381
744,156.73,157.345,156.68,157,30815
745,155.9,156.86,155.9,156.86,32035
746,154.495,155.7701,154.339,155.7701,26285
747,155.28,155.87,154.3991,154.56,27467
748,155.58,156.01,155.29,155.3,20183
749,155.06,155.68,154.98,155.36,29481
750,155.41,155.61,155.081,155.14,40028
751,155.89,156.13,155.4,155.41,18442
752,155.01,156,155.01,155.97,32785
753,154.62,155.3199,154.6,155.3199,31686
754,153.88,154.8,153.88,154.675,16278
755,153.93,154.24,153.8,153.9795,21385
756,153.55,154.72,153.5,154.06,34723
757,153.1,153.85,153.045,153.69,25174
